NameString,RefString
Cyphostemma lageniflorum (Gilg & Brandt) Descoings,"Descoings. In: Not. Syst., Paris, 16: 122 (1960), et Nat. Monspel., Ser. Bot., Fasc. 18, 223. (1967)."
Asteriscus daltonii daltonii,
"Dialeurodes pseudocitri Takahashi, 1942",
"Proarcestes bicarinatus (Münster, 1841)",G. Münster. Beiträge zur Geognosie und Petrefacten-Kunde des südöstlichen Tirols vorzüglich der Schichten von St. Cassian. II. Beschreibung und Abbildung der in den Kalkmergelschichten von St. Cassian gefunden Versteinerungen. Beiträge zur Petrefacten-Kunde: 25--152. (1841).
Athyrium chayuense Z.R.Wang,Z. R. Wang. In: Vasc. Pl. Hengduan Mount. 1: 84. (1993).
"Heteronemia praetermissa (Brunner von Wattenwyl, 1907)",
"Leptodesmus rubricus Schubart, 1955",
Piper pseudopsis C.DC. ex Pittier,"Pittier. In: Anal. Inst. Fis-Geog. Costa Rica, 8: 248, repr. (1898)."
Spergula arvensis var. gracilis E.Petit,E. Petit. In: Bot. Tidsskr. 14: 245. (1885).
"Ochrotomys nuttalli lisae Packard, 1969",
"Orthotrichia tragetti Mosely, 1930",
"Niphetia curtisiana (Enderlein, 1906)","Enderlein, G. Monographie der Coniopterygiden. Zoologische Jahrbücher (Abteilung für Systematik, Geographie und Biologie) 23:173-242. (1906)."
"Prosoeca beckeri Lichtwardt, 1920",
"Leptoporus borealis (Fr.) Pilát, 1938","Kavina & Pilát. In: Atlas Champ. l'Europe, III, Polyporaceae (Praha) 1:234. (1938)."
Ficus urdanetensis Elmer,Elmer. In: Leafl. Philipp. Bot. 7: 2413. (1914).
Stelis caespitifica Rchb.f.,Rchb.f. In: Bonplandia (Hannover) 3: 71. (1855).
"Amauromyza valans Singh & Ipe, 1973",
"Potanthus ilion De Nicéville, 1897",
"Ocypus (Pseudocypus) anophthalmicus (Hernández & Aguiar, 1988)","Hernández, J. J. & A. Aguiar. Una nueva especie de Atlantogoerius endogeo de Tenerife (Islas Canarias) (Coleoptera, Staphylinidae). Fragmenta Entomologica, 21 (1): 85-92. (1988)."
"Paradorydium longifasciana Li, 1990",
Acoridium microchilum (Schltr.) Ames,Ames. In: Orchidaceae 7: 81. (1922).
"Gabrius phaeopus Stephens, 1833","Stephens, J. F. Illustrations of British entomology, or a synopsis of indigenous insects, containing their generic and specific distinctions, with an account of their metamorphoses, times of appearance, localities, food, and economy, as far as practicable. Mandibulata, Vol. 5. Baldwin & Cradock, London. pp. 241-304, pl. 27. (1833)."
Xiambola,
Licaria misantlae (T.S.Brandegee) Kosterm.,"Kosterm. In: Meded. Bot. Mus. Herb. Rijks Univ. Utrecht, No. 42, 602 (1937), et in Rec.Trav. Bot. Neerl., 34: 602. (1937)."
"Gerbillus (Gerbillus) aquilus Schlitter & Setzer, 1972",
"Uredo oxalidis Lév., 1841","Léveillé, J.-H. In: Annls Sci. Nat., Bot., sér. 2 16:240. (1841)."
"Zdenekiana squama Huggert, 1979","Huggert, L. A new species of the genus |Zdenekiana| Hugg. in Canada (Hymenoptera: Chalcidoidea: Pteromalidae). JOURBOOK: Canadian Entomologist VOLUME: 111(9) PAGES: 1057-1058. (1979)."
Pseudodiamerus,
"Phintella conradi Prószyński & Deeleman-Reinhold, 2012","Prószyński, J., Deeleman-Reinhold, C. L. Description of some Salticidae (Aranei) from the Malay archipelago. II. Salticidae of Java and Sumatra, with comments on related species. Arthropoda Selecta 21: 29-60. (2012)."
Cybianthus antillanus (Mez) G.Agostini,"G. Agostini. In: Acta Biol. Venezuel., 10(2): 157. (1980)."
"Asarta alticola Hampson, 1930",
"Perca vigintiuniradiata Larrañaga, 1923",
"Propionibacterium thoenii van Niel, 1928",
"Paracyclomaurus seriatellus Loges, 1906",
"Aneurinibacillus danicus Goto et al., 2004",
"Lactarius obscuratus var. radiatus (J.E.Lange) Romagn., 1974","Romagnesi, H. In: Bull. trimest. Soc. mycol. Fr. 90:145. (1974)."
"Cobalus deleta Herrich-Schäffer, 1869",
Aderorrhinus,
Rhynchospora corymbosa var. organensis (C.B.Clarke) Kük.,Kük. In: Bot. Jahrb. Syst. 74: 416. (1949).
"Pervagor melanocephalus johnstonensis Woods, 1966",
Sorghum verticilliflorum var. infrequens Snowden,"Snowden. In: J. Linn. Soc., Bot. 55: 236. (1955)."
"Brachylomia curvifascia Smith, 1891",
Pittosporum acutisepalum (Hbd.) Sherff,"Sherff. In: Publ. Field Mus. Nat. Hist., Chicago, Bot. Ser., 22: 409. (1941)."
"Pleistophora peponoides Schulman, 1962",
"Loboderes parvulus Casey, 1922",
"Megaselia riefi Brenner, 2006",
"Turbonilla johnsoni Baker, Hanna & A.M.Strong, 1928",
"Entedon xanthostoma (Ratzeburg, 1844)","Ratzeburg, J.T.C. Die Ichneumonen der Forstinsekten in entomologischer und forstlicher Beziehung. VOLUME: 2 PAGES: vi+238pp, 4 tables, 3 plates. (1848)."
"Eloactis capensis (Verrill, 1865)",
Physalis atriplicifolia Poir.,Poir. In: Encyc. Suppl. 2: 348. (1811).
Sibovia sanguineovittata,"Metcalf, Z.P. General catalogue of the Homoptera. Fascicle VI. Cicadelloidea. Part 1. Tettigellidae. Washington, D.C.: USDA. II? p. (1965)."
"Omphreus (Omphreus) morio strupii Winkler, 1933",
"Pseudanophthalmus potomaca senecae Valentine, 1932",
"Pygopus klugei Wells & Wellington, 1985",
"Arotrephes perfusor (Gravenhorst, 1829)","Gravenhorst, J.L.C. Ichneumonologia Europaea. Pars II. Vratislaviae. 989 pp. (1829)."
"Apistosia pogonoprocta Dognin, 1899",
Bahia depressa M.E.Jones,M. E. Jones. In: Contr. W. Bot. 17: 31. (1930).
"Dytiscus fuscipes Linnaeus, 1758","Linnaeus, C. Systema naturae per regna tria naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. Editio decima, reformata. Vol. 1. L. Salvii, Holmiae. 824 + iii pp. (1758)."
"Stenoptilia bandamae Bigot, 1964","Bigot, L. Les Pterophoridae de Côte d'Ivoire. Bull. Soc. Sci. Nat. Nimes 50: 112-115. (1964)."
"Anelaphus villosus (Fabricius, 1793)",
"Phaeophilacris townsendi Kaltenbach, 1983",
Campanula patula var. flaccida Wallr.,Wallr. In: Sched. Crit.: 85. (1822).
"Lathrobium lituarium J.L.LeConte, 1880","LeConte, J. L. Short studies of North American Coleoptera. Transactions of the American Entomological Society, 8: 163-218. (1880)."
"Poria pulchella (Schwein.) Cooke, 1886","Cooke, M.C. In: Grevillea 14(no. 72):113. (1886)."
Hyptis personata Epling,Epling. In: Repert. Spec. Nov. Regni Veg. Beih. 85: 208. (1936).
Aethionema moricandianum (Boiss.) Boiss.,
"Xylosthaphis xylosthei Amyot, 1847",Amyot. Entomologie française. Rhynchotes (Suite) (1). Annales de la Société Entomologique de France Deuxième Série 5:453-506. (1847).
"Maculiparia obtusa solimoensis Carbonell, 2002",
"Latipalpis margotana Novak, 1990","Novak G. Latipalpis (s.str.) plana berythensis n.ssp. und Latipalpis (s.str.) margotana n.sp., neu aus Ostmediterranea (Coleoptera, Buprestidae). Zeitschrift der Arbeitsgemeinschaft Österreichischer Entomologen 41(3/4):81-83. (1990)."
"Radulidium subulatum (de Hoog) Arzanlou, W.Gams & Crous, 2007","Arzanlou, M.; Groenewald, J.Z.; Gams, W.; Braun, U.; Shin, H.D.; Crous, P.W. Phylogenetic and morphotaxonomic revision of Ramichloridium and allied genera. In: Stud. Mycol. 58:89. (2007)."
Xyris tatei Malme,Malme. In: Bull. Torrey Bot. Club 58: 323. (1931).
"Geoemyda punctularia Wermuth & Mertens, 1961",
Cakile monosperma Lange,
"Pseudohumbertiella grandis (Brauer, Redtenbacher & Ganglbauer, 1889)",
Dietelia,
"Labidus coecus (Latreille, 1802)",
Carpinus hwai Hu & W.C.Cheng,"Hu & W.C.Cheng. In: Bull. Fan Mem. Inst. Biol., n.s., 1: 148. (1948)."
"Gabunia bifasciata (Cushman, 1942)","Cushman, R.A. The genotypes of some of Ashmead's genera of Ichneumon-flies. Proceedings of the United States National Museum. 92(3150):277-289. (1942)."
"Aquattuor fasciatus (Attems, 1896)",
"Polyarthron bienerti Hauser, 1894","HAUSER Friedrich. Beitrag zur Coleopteren-Fauna von Transcaspien und Turkestan. Zusammengestellt unter Mitwirkung der Herren Dr. Eppelsheim, Escherich, Faust, Dr. Von Heyden, Kuwert, Reitter und Weise. Deutsche Entomologische Zeitschrift, Berlin 1894 (1): 17-74, pl. I, figs 1, 1a. (1894)."
Pycnoporellus,
"Calyptella episphaeria Quél., 1888","Quélet, L. In: Fl. mycol. France (Paris):27. (1888)."
"Clisosporium agaves (Durieu & Mont.) Kuntze, 1898","Kuntze, C.E.O. In: Revis. gen. pl. (Leipzig) 3(2):458. (1898)."
Hermione multiflora var. aurea Haw.,Haw. In: Suppl. Pl. Succ.: 146. (1819).
Crataegus spectabilis Salisb.,Salisb. In: Prod. 357. (1796).
Parmelia lacera (Sm.) Ach.,Ach. In: Method. Lich. p. 225. (1803).
Pyrola rotundifolia var. americana (Sweet) Fern.,Fern. In: Rhodora 22: 122. (1920).
"Calathusa dubia Wileman, 1916",
"Paryphoconus sonorensis Wirth & Ratanaworabhan, 1972",
Aralia spinifolia Merr.,Merr. In: Philipp. J. Sci. 15: 249. (1919).
"Evaniella polita (Schletterer, 1889)",
"Amara brunneofemorata Letzner, 1852",
"Lentinellus singeri E.Horak, 1980","Horak, E. Fungi, Basidiomycetes. Agaricales y Gasteromycetes secotioides. In: Fl. criptog. Tierra del Fuego (Buenos Aires) 11(6):123. (1980)."
"Cryptoplax hartmeyeri Thiele, 1911",
"Aleochara nigerrima Kraatz, 1856","Kraatz, G. Naturgeschichte der Insekten Deutschlands, Abteilung 1, Coleoptera, vol. 2, Staphylinii. Lief. 1-2, pp. i-vii, 1-376. Nicolaische Buchhandlung, Berlin. (1856)."
Phalangium glaucum (Ruiz & Pav.) Poir.,"J.B.A.M.de Lamarck. In: Encycl., Suppl. 4: 384. (1816)."
"Samythella bathycola Uschakov, 1950",
"Mecosarthron domingoensis Chemsak, Linsley & Noguera, 1992","CHEMSAK J. A., LINSLEY E. G. & NOGUERA F. A. II. Los Cerambycidae y Disteniidae de Norteamérica, Centroamérica y las Indias Occidentales (Coleoptera). Instituto de Biología, Universidad Nacional Autónoma de México. Listados Faunísticos de México 1992: 1-204. (1992)."
"Basidissus incilis R.Frieser, 2000","Frieser, R. Einige neue Anthribiden von Madagaskar und der Île de la Réunion (Coleoptera: Anthribidae). Acta coleopterologica, 16(1): 35-51. (2000)."
Callipeltis,
Aprivesa,
Neomachaerotypus,
"Dyscolus (Dyscolus) callanga Perrault, 1992",
"Ellabella melanoclista Meyrick, 1927",
"Methia pusilla Gilmour, 1968","GILMOUR E. Forrest. The Coleoptera Cerambycidae of Curaçao, Bonaire and Aruba. Studies on the Fauna of Curaçao & other Caribbean Islands, La Hague 25 (100): 83-178, 10 pls. (1968)."
"Alcidion furciferum Lameere, 1883","LAMEERE Auguste Alfred Lucien. Liste des Cérambycides décrits postérieurement au catalogue de Munich. Annales de la Société Entomologique de Belgique, Bruxelles [1882] 26: 1-78. (1883)."
"Velia (Plesiovelia) hoberlandti Tamanini, 1951","Tamanini, Livio. 3o contributo allo studio del genere Velia Latr. (Hemipt.-Heteropt., Veliidae). Acta Entomologica Musei Nationalis Pragae, vol. 26. (1951)."
Rorippa microsperma (DC.) L.H.Bailey,
Propefusus,
"Toxotus caeruleipennis galloisi Ohbayashi, 1961","OHBAYASHI Kazuo. New Cerambycidae from Japan. (6). The Entomological Review of Japan 13 (1): 16-20, 2 figs, pl. 4. (1961)."
"Vertigo baudoni Michaud, 1862","Michaud, G. Description des Coquilles fossiles des environs de Hauterive (Drôme). Journal de Conchyliologie. 10, 58-84. (1862)."
"Cerambix annulatus Olivier, 1795","OLIVIER Guillaume-Antoine. Entomologie ou Histoire Naturelle des Insectes, avec leurs caractères génériques et spécifiques, leur description, leur synonymie et leur figure enluminée. Coléoptères. Imprimerie de Lanneau, Paris 4: 1-519, 75 pls. (1795)."
Gironniera costata Miq.,Miq. In: Zoll. Syst. Verz. Ind. Archip. 88. (1854).
"Poria sartoryi Bourdot & L.Maire, 1921","Bourdot & L. Maire. In: Assoc. Franç. Avancem. Sci., Congr.:619. (1921)."
"Macrodactylus luridipennis Burmeister, 1855",
Cosmetopus,
Avena sterilis var. parallela Hausskn.,Hausskn. In: Mitth. Thüring. Bot. Vereins 3: 240. (1884).
"Phocides zancleius Bell, 1934",
Sideroxylon foxworthyi Elmer,Elmer. In: Leafl. Philipp. Bot. 5: 1836. (1913).
"Peziza verrucaria Alb. & Schwein., 1805",Alb. & Schwein. In: Consp. fung. (Leipzig):340. (1805).
"Labia fulleri Ramamurthi, 1964",Ramamurthi. Ann Mag nat Hist 13(6):647. (1964).
Potamogeton heterophyllus f. myriophyllus (J.W.Robbins) Morong,Morong. In: Mem. Torrey Bot. Club 3: 24. (1893).
Elcismia parva (T.Kirk) B.L.Rob.,B. L. Rob. In: Proc. Amer. Acad. 49: 513. (1913).
"Napaeus delicatus Alonso, Yanes & Ibáñez, 2011",
"Olenikites bombus Tozer, 1994",E. T. Tozer. Canadian Triassic Ammonoid Faunas. Geological Survey of Canada Bulletin: 1--663. (1994).
"Eriphia verrucosa (Forskål, 1775)",
"Lachnothorax anthracinus (Liebke, 1938)",
"Bathydomus obtectus Thiele, 1912",
Cerastium formosanum (Ohwi) Ohwi,"Ohwi. In: Fedde, Repert. 36: 47. (1934)."
Ceratorhiza,
"Hammoderes suzukii Shiraki, 1913",SHIRAKI T. Special Bulletin of Agricultural Experiment Station of Formosa 8: 610. (1913).
"Trigonia sulcata Agassiz, 1840",
"Hemicyclops cylindraceus (Pelseneer, 1929)",
"Stylochus tenax Palombi, 1936",
Dendrocaffrus,
Erythranthe inflatula (Suksd.) G.L.Nesom,G. L. Nesom. In: Phytoneuron 2012-39: 38. (2012).
Conophytum tantillum amicorum S.A.Hammer & C.Barnhill,
"Sphaeria michotii Westend., 1859","Westendorp, G.D. In: Bull. Acad. R. Sci. Belg., Cl. Sci., sér. 2 7(5):87. (1859)."
"Gasterosteus argentatissimus Blanchard, 1866",
"Kleptochthonius (Chamberlinochthonius) rex Malcolm & Chamberlin, 1961",
"Singilis nigrocruciatus (Mateu, 1979)",
"Pteroidichthys godfreyi (Whitley, 1954)",
"Distostylus irwini Webb, 2003",
Nelitris jambosella Gaertn.,Gaertn. In: Fruct. Sem. Pl. 1: 134. (1788).
Dyssodia squamosa A.Gray,A. Gray. In: Proc. Am. Acad. 19: 38. (1883).
"Lypha fumator (Reinhard, 1962)",
"Exmacrocyrtus hieroglyphicus W.Schultze, 1924",
"Liothrips (Liothrips) gynopogoni Priesner, 1968",Priesner H. On the genera allied to Liothrips of the Oriental fauna II (Insecta-Thysanoptera). Treubia 27: 175–285. (1968).
Tropidocarpum,
"Heliconius primularis eleuchia Hewitson, 1854",
Pyxine cocoës (Sw.) Nyl.,Nyl. in Nylander. In: Mém. Soc. Sci. Nat. Cherbourg Vol.: 5 p. 108. (1857).
"Hieracium bruchense Mateo, Egido & Gomiz","Mateo, Egido & Gomiz. In: Fl. Montiberica 70: 124. (2018)."
Urtica bianorii (Knoche) Paiva,Paiva. In: Anales Jard. Bot. Madrid 50: 130. (1992).
Paramphinome jeffreisii [auctt.],"Jirkov, I.A. [Polychaeta of the Arctic Ocean] (In Russian) Polikhety severnogo Ledovitogo Okeana. (2001)."
"Eupatagus (Plagiobrissus) herrerae Sánchez Roig, 1951",
Cathartolinum sulcatum (Riddell) Small,Small. In: N. Am. Fl. 25: 78. (1907).
"Entella (Entella) angolensis Beier, 1937",
Calamagrostis epigejos var. brachystachya E.L.Saelan ex O.Fedtsch.,E.L.Saelan ex O.Fedtsch. In: Izv. Imp. Bot. Sada Petra Velikago 14(Suppl. 2): 59. (1915).
Diospyros latifolia Gürke,Gürke. In: Bot. Jahrb. Syst. 26: 63. (1898).
Euphorbia bessarabica Klokov,Klokov. In: Fl. RSS Ucr. 7: 629. (1955).
"Boletus citrinus J.J.Planer, 1788","Planer, J.J. In: Ind. Pl. erfurt.:26. (1788)."
"Agrypon tamahonum Uchida, 1928","Uchida, T. Zweiter Beitrag zur Ichneumoniden-Fauna Japans. Journal of the Faculty of Agriculture, Hokkaido University. 21:177-297. (1928)."
"Premnobius corthyloides Eggers, 1920",
"Cortinarius amarescens M.M.Moser, 1952","Moser, M.M. In: Sydowia 6(1-4):68. (1952)."
"Glypholoma pecki Thayer & Newton, 1979","Thayer, M. K. & A. F. Newton, Jr. Revision of the south temperate genus Glypholoma Jeannel, with four new species (Coleoptera: Staphylinidae: Omaliinae). Psyche, 85 (1): 25-63. (1979)."
Ptilocalais nutans (Hook.) Greene,Greene. In: Bull. Calif. Akad. 2: 5: 54. (1886).
"Dichagyris euteles Boursin, 1963",
"Australerythrops paradicei W.M.Tattersall, 1928",
"Drycothaea angustifrons (Breuning, 1943)",
Gynura aurantiaca Benth.,Benth. In: Hook. Niger Fl. 437. (1849).
Vallisneria erecta S.W.L.Jacobs,S.W.L.Jacobs. In: Syst. Bot. 33: 62. (2008).
Isopogon spathulatus var. linearis R.Br.,R. Br. In: Suppl. Prodr. Fl. Nov. Holl. 9. (1830).
"Phyllium gorgon G.R.Gray, 1835",
Poecilocryptus,
"Megachile emexae (King, 1994)",
Microcoelia,
"Opomala syriaca F.Walker, 1871",
Zeoliarus,
"Dorytomus infirmus Desbr.d.Loges, 1907",
Vernonia conferta Sch.Bip. ex Baker,Baker. In: Mart. Fl. Bras. 6(2): 124. (1873).
"Cyphagogus thoracicus Kleine, 1933",
Felicia hyssopifolia glabra (DC.) Grau,
Asplenium adiantifrons (Hayata) Ching,Ching. In: Acta Phytotax. Sin. 10: 187. (1965).
"Crella (Grayella) beglingerae van Soest, 2009",
Liatris marginata Cass.,Cass. In: Dict. Sci. Nat. 26: 236. (1823).
Wrangeliaceae,
"Pennella benzi Hogans, 2017",
"Atheta besucheti G.Benick, 1983","Benick, G. Neue Atheten (Coleoptera, Staphylinidae) aus der Schweiz und Frankreich. Revue Suisse de Zoologie, 90 (3): 623-628. (1983)."
"Stigmodera arida Barker, 1987",
"Trachelius laticeps Ehrenberg, 1840",
"Peryphus lindbergi Schuler, 1959",
"Antistreptus contrarius (Thiele, 1912)",
"Aecidium mangaranga Henn., 1903","Hennings, P.C. In: Kunene-Sambesi-Exped., H. Baum, 1903 (Berlin):163. (1903)."
"Mesostoma splendida Graff, 1882",
"Aphodius ferrugineus Schilsky, 1888",
Xanthoparmelia shebaiensis T.H.Nash & Elix,T. H. Nash & Elix. In: Mycotaxon Vol.: 29 p. 471. (1987).
"Pecten patagonicus P.P.King, 1832","King, P. P. Description of the Cirrhipeda, Conchifera and Mollusca, in a collection formed by the officers of H.M.S. Adventure and Beagle employed between the years 1826 and 1830 in surveying the southern coasts of South America, including the Straits of Magalhaens a. i>Zoological Journal, see Coan, Petit & Zelaya, 2011, The Nautilus</i. 5(125): 332-349. (1832)."
Terminalia glabrata var. koariki,
Carex turgescens Dewey,"Dewey. In: Amer. J. Sci. Arts, ser. 2, 3: 356. (1847)."
Dahliphora,
"Psilocistella quercina (Velen.) Svrček, 1977","Svr?ek, M. In: ?eská Mykol. 31(4):197. (1977)."
"Epicypta pilosistyla Matile, 1979",
"Zephronia tricollis (Karsch, 1881)",
Sphaeropsis,
"Ephysteris fuscocrossa Janse, 1960",
"Bothropolys montanus Verhoeff, 1938",Verhoeff K.W. Über einige ostasiatische Lithobiiden. Zoologischer Anzeiger . 123: 99-105. (1938).
"Mayetia galiberti Lavagne, 1916","Lavagne, H. Description d'un Mayetia nouveau (Col. Staphylinidae). Bulletin de la Société Entomologique de France, 1916: 100-102. (1916)."
"Cortinarius mendax var. anomaloides (Rob.Henry) Bidaud & Reumaux, 2011","Bidaud, A. Cortinaires rares ou nouveaux de la region Rho<circumflex>ne-Alpes (France). In: Journal des JEC, Journées Européenes du Cortinaire 14(no. 13):19. (2011)."
"Leucoagaricus viridiflavus (Petch) T.K.A.Kumar & Manim., 2009","Kumar, T.K.A.; Manimohan, P. The genera Leucoagaricus and Leucocoprinus (Agaricales, Basidiomycota) in Kerala state, India. In: Mycotaxon 108:399. (2009)."
"Cadlina kerguelensis Thiele, 1912",
Rhynchospora scalaris L.B.Sm.,L.B.Sm. In: Phytologia 1: 82. (1934).
"Helix massiei Morlet, 1891","Morlet, L. Diagnoses Molluscorum novorum, in Indo-Chinâ collectorum. Journal de Conchyliologie. 39: 25-28. (1891)."
"Perichaena corticalis var. liceoides (Rostaf.) G.Lister, 1911","Lister. Monogr. mycetozoa, ed. 2 251. (1911)."
"Polydesmus instrianus Attems, 1926",
"Exomias interpositus siliciensis (Fremuth, 1971)",
"Lanistes nsungwensis Epa, Stigall, Roberts, O'Brien & Stevens, 2018",
"Obelia andersoni Hincks, 1887","Hincks, T. On the Polyzoa and Hydroida of the Mergui Archipelago collected for the Trustees of the Indian Museum, Calcutta, by Dr. J. Anderson, F.R.S., Superintendent of the Museum. - Journal of the Linnean Society London, Zoology 21: 132-135, pl. 12. (1887)."
Macrosemia juno,"Lee, Y.J. Cicadas (Hemiptera: Cicadidae) of Laos, with the description of four new genera and two new species. Annales de la Societe Entomologique de France. Paris. 50(1): 59-81. (2014)."
Croton dioicus Sessé & Moc.,"Sessé & Moc. In: Fl. Mexic., ed. 2: 222. (1894)."
"Pogonochaerus parvulus Gemminger & Harold, 1873",GEMMINGER Max & von HAROLD Edgar. Catalogus coleopterorum hucusque descriptorum synonymicus et systematicus. Munich 10: 2989-3232 & index. (1873).
"Napaeus tafadaensis Yanes, 2009",
Helichrysum gnaphaloides Kunth,Kunth. In: Nov. Gen. et Sp. 4: 87. (1820).
"Leptoiulus simplex abietum Verhoeff, 1914",
"Mycerinopsis borneotica (Breuning, 1939)",
"Taslopa montana Evans, 1942",
Kadalia rotundifolia Rafin.,Rafin. In: Sylva Tellur. 101. (1838).
Comanthera caespitosa (Wikstr.) L.R.Parra & Giul.,L.R.Parra & Giul. In: Taxon 59: 1143. (2010).
"Rhopalicus magdalis (Ratzeburg, 1848)","Kurdjumov, N.V. Notes on Pteromalidae (Hymenoptera, Chalcidoidea). JOURBOOK: Russkoe Entomologicheskoe Obozrenie VOLUME: 13(1) PAGES: 1-24, 2 figs. (1913)."
Coniogramme taiwanensis Ching,Ching. In: Acta Bot. Yunnan. 3(2): 236. (1981).
"Macrotermes subhyalinus (Rambur, 1842)",
"Paramonova burrijunana Kelsey, 1987",
Flabellicytherois,
"Eucamptodontopsis mcphersonii M.J.Price, 2002",M. J. Price. J. Bryol. (2002).
"Tachyagetes saharojudaeus Wolf, 1982","Wolf, H. Zur Kenntnis der Gattung Tachyagetes Haupt, 1930 (Hym. Pom.). Entomofauna 3 (13): 177-205. (1982)."
"Anthrax busonicus Francois, 1960",
"Neophrissospongia radjae Pisera & Vacelet, 2011",
"Megastethodon australis (Butler, 1874)","Lallemand V. Homoptera Fam. Cercopidae. Genera Insectorum. Diriges par P. Wytsman. Bruxelles, 143: 1-167. (1912)."
"Derovatellus orientalis Wehncke, 1883",
"Pyramidella octaviana (Di Geronimo, 1973)","Anon. Gastropoda Heterobranchia Heterostropha, in: Revisione della Checklist della fauna marina italiana. (2006)."
"Penicillium xinjiangense A.J.Chen, B.D.Sun & W.W.Gao, 2013","Chen, A.J.; Tang, D.; Zhou, Y.Q.; Sun, B.D.; Li, X.J.; Wang, L.Z.; Gao, W.W. Identification of ochratoxin A-producing fungi associated with fresh and dry liquorice. In: PLoS ONE 8(10):e78285, 5. (2013)."
Hieracium randense Omang,"Omang. In: Ark. Bot., Stockh., andra ser. 1: 212. (1949)."
"Ellychnia hatchi Fender, 1962",
"Sophronica olivacea Báguena & Breuning, 1958",
Phyllocaecilius,
"Apristurus longicephalus Nakaya, 1975",
"Homilia pallida Navas, 1930",
Laelia albida var. sulphurea Rchb.f.,"Rchb.f. In: Gard. Chron., n.s., 21: 76. (1884)."
"Rhodobaca bogoriensis Milford et al., 2001",
"Terpnosia majuscule Pham & Yang, 2010","Pham, H.T., Yang, J.T. Biodiversity of Vietnamese cicadas (Hemiptera: Cicadidae). Thirteenth International Auchenorrhyncha Congress and the 7th. International Workshop on Leafhoppers and Planthoppers of Economic Significance, 28 June-2 July, Vaison-la-Romaine, France, Abstracts: Talks and Posters: 133?134. (2010)."
"Swezeyia vitiensis (Kirkaldy, 1906)",
Aneilema acutifolium Lauterb. & K.Schum.,Lauterb. & K.Schum. In: Fl. Schutzgeb. Südsee: 217. (1900).
Didymochora,
Chrysoglossum simplex (Rchb.f.) J.J.Sm.,J.J.Sm. In: Orch. Java: 177. (1905).
"Melanopsamma nitida Kirschst., 1907","Kirschstein, W. In: Verh. bot. Ver. Prov. Brandenb. 48:50. (1907)."
"Scalopus aquaticus anastasae Bangs, 1898",
"Brachinus tormentarius LeConte, 1846","LECONTE, John Lawrence. A descriptive catalogue of the geodephagous Coleoptera inhabiting the United States east of the Rocky Mountains [1st part]. -. ""Annals of the Lyceum of Natural History of New York, 4 [1846-1848]: 173-354 [= 173-254]. (<a href = ""https://biodiversitylibrary.org/page/33700009"" target =""_blank"">See BHL)"". (1846)."
"Argyrodes parcestellatus Simon, 1909","Simon, E. Etude sur les arachnides du Tonkin (1re partie). Bulletin Scientifique de la France et de la Belgique 42: 69-147. (1909)."
Elymus hispidus var. ruthenicus (Griseb.) Dorn,Dorn. In: Vasc. Pl. Wyoming: 298. (1988).
"Polyxenus lophurus Menge, 1854",
"Parabrachiella triglae (Claus, 1860)",
"Tachys nympha (Erwin, 1984)",
"Euparius albiceps Jordan, 1904",
Veloxidium,
Muhlenbergia andina (Nutt.) Hitchc.,Hitchc. In: Bull. U.S.D.A. 772: 14. (1920).
"Apiodera transparens Motschulsky, 1864","MOTSCHULSKY, T. Victor Ivanovich de. Enumération des nouvelles espèces de coléoptères rapportés de ses voyages. 4ème article (suite). -. ""Bulletin de la Société Impériale des Naturalistes de Moscou, 37 (3): 171-240. (Moscow). (<a href = ""https://biodiversitylibrary.org/page/44334154"" target =""_blank"">See BHL)"". (1864)."
"Ophistomis hirsutus Bates, 1885","BATES Henry Walter. Supplement to Longicornia. Biologia Centrali-Americana, Insecta, Coleoptera 5: 249-436, pls. XVII-XXIV. (1885)."
"Peromyia autumnalis Jaschhof, 2001",
